title,cleaned_title
Android Engineer - Intelligent Video Creation,Android Engineer
"Engineer, IT (TV & Radio Playout Support)",Engineer It
Shopping Mall Customer Service Officer (Central//Basic up $3000) - 070,Shopping Mall Customer Service Officer
CHEF,Chef
Mailroom Team Lead [5 days/ Raffles] (JQ),Mailroom Team Lead Days Raffles
"Delivery cum Store Assistant (Automobile Parts & Accessories) – Up to $3,000 - NO EXP REQ, ALL WELCOME!",Delivery Cum Store Assistant
Receptionist cum Admin Assistant,Receptionist Cum Admin Assistant
Junior Marketing & Design Support,Junior Marketing Design Support
Site Reliability Engineer,Site Reliability Engineer
Project Coordinator,Project Coordinator
Security Officer,Security Officer
"Solutions and Sales Specialists Lead, Google Cloud - Singapore",Solutions And Sales Specialists Lead Google Cloud
Production Engineering Engineer (Quality Improvement) (ID3257),Production Engineering Engineer
Senior Sales Executive (Manufacturing / Industrial Sales),Senior Sales Executive
Senior Accounts Executive,Senior Accounts Executive
PE & CCA Lead,Pe Cca Lead
Waiter and Waitress Service Crew,Waiter And Waitress Service Crew
Driver Cum Storeman,Driver Cum Storeman
Customer Service Agent #HHLT,Customer Service Agent
Customer Service Executive / Environmental MNC / West,Customer Service Executive Environmental Mnc West
Tiong Bahru Bakery - Captain - 05 DAYS WORK WEEK : FULL TRAINING WILL BE PROVIDED,Tiong Bahru Bakery
English Tutor,English Tutor
Human Resource Executive - Healthcare [3770],Human Resource Executive
Lecturer for Diploma Programme,Lecturer For Diploma Programme
Electrical and Control Design Engineer [5 days| Woodlands| PLC programming] 2894,Electrical And Control Design Engineer Days
QAQC Inspector,Qaqc Inspector
Claims Associate @ Ang Mo Kio - Up to $2600,Claims Associate Ang Mo Kio
MANAGER,Manager
Sales Manager,Sales Manager
Grinding Technician #64856,Grinding Technician
"Engineer, QEHS",Engineer Qehs
Financial Advisor #SGUnitedJobs,Financial Advisor
Telemarketer Intern,Telemarketer Intern
HSSEQ Executive #66120,Hsseq Executive
SUPERVISOR,Supervisor
Manufacturing Engineer / West / Manufacturing Industry,Manufacturing Engineer West Manufacturing Industry
Customer Service Specialist| Business Banking up to $4K,Customer Service Specialist
SAP FICO Consultant,Sap Fico Consultant
Strategic Planning Executive,Strategic Planning Executive
Investment Analyst (Real Estate),Investment Analyst
LNG Trader (Oil & Gas MNC),Lng Trader
HR Consultant @ East / No Exp / Vibrant Team + Massive Growth,Hr Consultant East No Exp Vibrant Team Massive Growth
Business Analyst,Business Analyst
Project Manager | Elevator Installation| Woodlands - 4769,Project Manager
Business Development Manager,Business Development Manager
QA Manager (ISO 13485) / North,Qa Manager North
Accounting Executive (Tax),Accounting Executive
Commis Chef,Commis Chef
Senior Cost Controller,Senior Cost Controller
ADMIN EXECUTIVE (PANDAN LOOP),Admin Executive
Part Time F&B Server,Server
Candidate Manager / Recruitment Consultant ,Candidate Manager Recruitment Consultant
Part Time Trolley Service Assistant,Trolley Service Assistant
HR Admin Executive,Hr Admin Executive
Inside Sales (Building Materials),Inside Sales
Medical Sales Representative ( Entry Level )  #HVY,Medical Sales Representative
Admin,Admin
Purchasing Executive (Marine/Shipping),Purchasing Executive
Site IT Support Engineer,Site It Support Engineer
HR Executive (Senior/Junior),Hr Executive
Senior Desktop Engineer,Senior Desktop Engineer
Senior Security Officer @ Buona Vista Office (near MRT) Perm/Relief. Day/Night,Senior Security Officer Buona Vista Office Perm Relief Day Night
Infant Educarer,Infant Educarer
SENIOR COOK,Senior Cook
Secondary Physics / Chemistry  Teachers ( Jan 2025 intake / Tampines Campus / IGCSE & A LEVEL),Secondary Physics Chemistry Teachers
"Senior / Executive, Operations (Food Production) ",Senior Executive Operations
Cost Accountant / Manufacturing MNC /East,Cost Accountant Manufacturing Mnc East
"2419 - HR Generalist [ Changi North // 5 Days // $3,800 ]",2419
Lead Infrastructure Engineer,Lead Infrastructure Engineer
DEPOT MANAGER,Depot Manager
ASSISTANT ACCOUNTANT,Assistant Accountant
Senior Full Stack Backend Developer,Senior Stack Backend Developer
"Graphic Designer & Illustrator (Govt) | $2,700+Bonus | 1 Year Contract @ Bendemeer Road",Graphic Designer Illustrator
"Human Resource Internship Program (Healthcare, 3 Months extendable) #HKA",Human Resource Internship Program
Business Development Manager,Business Development Manager
Business Development Manager (Tender Management / ACMV / M&E) - SL,Business Development Manager
Finance & Operations Analyst,Finance Operations Analyst
LORRY DRIVER,Lorry Driver
Supervisor,Supervisor
Talent Acquisition (HR),Talent Acquisition
Administrative Executive,Administrative Executive
Production Supervisor #65733,Production Supervisor
Aircraft Trainee Technician,Aircraft Trainee Technician
"Marine Operations Superintendent, Ship Owner, Singapore",Marine Operations Superintendent Ship Owner Singapore
Commodity Manager - Management / Semiconductor,Commodity Manager
"Deputy Officer/Officer, Billing (1-year contract)",Deputy Officer Officer Billing
"Program Manager (Semicond, Woodlands)",Program Manager
BEAUTICIAN,Beautician
Performing Artiste,Performing Artiste
Financial Consultant,Financial Consultant
IT Operation and maintenance Director,It Operation And Maintenance Director
Buyer @ Loyang,Buyer Loyang
M&E Engineer [ A1 Main Con / Islandwide Site Base / zr328 ],Engineer Main Con Islandwide Site Base
Senior Product Manager/Product Manager (Hybrid Work),Senior Product Manager Product Manager
Outpatient Clinic Nurse,Outpatient Clinic Nurse
Electrical Technician,Electrical Technician
Research Scientist (Semiconductor),Research Scientist
Admin Assistant,Admin Assistant
Engineering Assistant (BOM/ECR/ECO)x3,Engineering Assistant
"Assistant Manager, Business Operations Management",Assistant Manager Business Operations Management
BIM Modeller (Architectural & Structural/Up to $5000),Bim Modeller
Product Line Manager (MBA Fresh Graduate),Product Line Manager
Tender Manager (Building Construction),Tender Manager
Business Process Improvement Manager,Business Process Improvement Manager
"Sales Executive (Industrial Equipment) - Global MNC, West",Sales Executive
Project manager,Project Manager
(CEI) Sales Consultant / Sales Representative / Customer Care Consultant,Sales Consultant Sales Representative Customer Care Consultant
ACCOUNTING SUPERVISOR,Accounting Supervisor
Business Development Executive (Remote),Business Development Executive
Corporate Secretarial Associate / Senior Associate,Corporate Secretarial Associate Senior Associate
0370 - Senior HR EXecutive [ Construction | MOM | Insurance | Communication | Payroll ],0370
Financial Accountant,Financial Accountant
Digital Marketing Assistant Manager (SEO & SEM) Real Estate,Digital Marketing Assistant Manager Real Estate
cook,Cook
"Accounts Receivable Temp (6 months extendable) - West| Up $3,300",Accounts Receivable Temp
Construction Manager / Deputy Construction Manager,Construction Manager Deputy Construction Manager
*Temp* Pharmacy Assistant (Healthcare/Office hours) #HLEB,Pharmacy Assistant
LOCUM NURSING - ENROLLED NURSE ($28/HR) + TRANSPORT ALLOWANCE - CHANGI #HYT,Locum Nursing
BUSINESS DEVELOPMENT EXECUTIVE (Basic + Transport + Comm + AWS),Business Development Executive
Digital Project Director,Digital Project Director
Assistant Manager,Assistant Manager
Audit Semi-Senior,Audit Semi
Social Lead - (Digital Marketing Manager) | One North | Contract,Social Lead
Bank Officer (Training will be provided!!),Bank Officer
lorry driver,Lorry Driver
Technical Support Specialist,Technical Support Specialist
"Senior, Operations Executive (Support role/ACMV/HVAC)",Senior Operations Executive
dance artiste,Dance Artiste
Office Manager,Office Manager
Barber,Barber
Banquet Captain,Banquet Captain
Banking Officer - Cards & Personal Loan / Various Banks / Fresh Grads,Banking Officer
Part-Time Early Literacy and English Teacher,Part
Junior / Senior Talent Acquisition (Training provided) Basic + Sales Incentives,Junior Senior Talent Acquisition Sales Incentives
"Assistant Vice President, Financial Report Engineering (Job ID: 10061860)",Assistant Vice President Financial Report Engineering
Project Manager,Project Manager
Supervisor,Supervisor
Clinic / Healthcare assistant,Clinic Healthcare Assistant
WAREHOUSE ASSISTANT | WEST | MIN 6 MONTHS COMMITMENT,Warehouse Assistant
R&D Chemist (ISO13485),Chemist
Patient Service Associate (Specialist Outpatient Clinics/ Pharmacy) #HLY,Patient Service Associate
7521 - Customer Relations Officer / Executive,7521
Tutor for Social Enterprise Tuition Centre (Bukit Batok and Bukit Gombak),Tutor For Social Enterprise Tuition Centre
Food & Beverage Executive,Food Beverage Executive
"Account Executive, LE GTS (Indonesia)",Account Executive Le Gts
Facilities Maintenance Technician,Facilities Maintenance Technician
L1 L2 CHILDCARE TEACHING POSITION(TAMPINES ),Childcare Teaching
Sales Manager (Marine),Sales Manager
Business Development Executive,Business Development Executive
Project Administrator,Project Administrator
Admin Assistant | Queenstown | URGENT!!,Admin Assistant
IC Verification Engineer (System Verilog/UVM),Ic Verification Engineer
"Security Officer (Retail) - High End Luxury Retail - Up to $3,500!",Security Officer
Senior Buyer (Oil & Gas Manufacturing MNC),Senior Buyer
Admin Assistant,Admin Assistant
Case Worker ( Community Healthcare / 2 rotating shift ) #HMN,Case Worker
Junior Art Director,Junior Art Director
RICE PACKER @ BOON LAY,Rice Packer Boon Lay
carpenter,Carpenter
Payments Test Lead,Payments Test Lead
ACCOUNTING EXECUTIVE,Accounting Executive
Receptionist (Prestigious Spirit),Receptionist
Event Operations Executive,Event Operations Executive
3 months temp Admin Assistant #HMS,Months Temp Admin Assistant
3063-Restaurant Dining Manager | Farrer Park MRT | 5 days,3063
Software Engineer,Software Engineer
Assistant Engineer - Permanent Way,Assistant Engineer
Valuations Control (Associate),Valuations Control
Structural Supervisor,Structural Supervisor
Captain (F&B),Captain
"Executive, Staff Suggestion Scheme and Operational Excellence",Executive Staff Suggestion Scheme And Operational Excellence
Guest Service Assistant / Executive (4 - 5 Star Hotel/ Islandwide)-ED,Guest Service Assistant Executive
SHIFT SUPERVISOR,Shift Supervisor
Sales Executive,Sales Executive
Customer Service Executive #66075,Customer Service Executive
Finance Executive,Finance Executive
Rf Test Engineer,Rf Test Engineer
-NEW- 24 Months Junior Admin Assistant,
Junior Project Engineer,Junior Project Engineer
Service Engineer (Marine generators/Power),Service Engineer
6 Months Admin Assistant / $2000 - $2600/ WEST #ECT,Months Admin Assistant
Finance Intern,Finance Intern
"9081 - Veterinarian [ 5 days / Ang Mo Kio / Serangoon / up to $9,000 ]",9081
Investor Relations Analyst (with Journalist background),Investor Relations Analyst
Assistant Manager/ Training Manager (Retail Industry),Assistant Manager Training Manager
Medical Sales Consultant (Basic Salary + Commissions) SGX Listed,Medical Sales Consultant Sgx Listed
"HR, Health & Safety Officer",Hr Health Safety Officer
Engineer (Mechanical & Electrical) [$4500 + VB / Jurong / Preventive Maintenance] - FA,Engineer Vb Jurong Preventive Maintenance
Workplace Safety & Health Officer #Careers #Worknow,Workplace Safety Health Officer
Automation Software Tester (TOSCA / Selenium),Automation Software Tester
"Accounts Assistant (Simple Duties/Partial Accounts) - Up to $2,500 + Bonus",Accounts Assistant
Cybersecurity Analyst,Cybersecurity Analyst
MARKETING  MANAGER,Marketing Manager
SPA THERAPIST,Spa Therapist
C# .NET Developer,Net Developer
(JC) Kitchen and Sushi Helper,Kitchen And Sushi Helper
ADMIN ASSISTANT / EXECUTIVE / COORDINATOR / 5 DAYS / EAST,Admin Assistant Executive Coordinator Days East
RTO(Infra),Rto
SPA THERAPIST,Spa Therapist
FINANCE MANAGER,Finance Manager
Lab Technician,Lab Technician
Mechanical Fitter - JT,Mechanical Fitter
TCM PHYSICIAN,Tcm Physician
Personal Assistant,Personal Assistant
Sales Manager (Logistics/Up to $10k),Sales Manager
Technical Service Executive (Basic up to $3900/ 3 Months Bonus/ Office Working Hours/ Class 5 License/ Tuas),Technical Service Executive
QA Lead Engineer,Qa Lead Engineer
Accounts and Admin Manager,Accounts And Admin Manager
Scientific Support Specialist (Regulatory Admin) - 12 months #HHLT,Scientific Support Specialist
Customer Service Officer (Education Business),Customer Service Officer
Finance Executive (1-Year Contract),Finance Executive
Account Executive,Account Executive
Business Development Executive,Business Development Executive
Senior Events 3D Designer,Senior Events Designer
Accounts Executive,Accounts Executive
Sales Manager,Sales Manager
Human Resource Assistant,Human Resource Assistant
Contract Teacher,Teacher
Retail Assistant/Store Incharge (Full-time),Retail Assistant Store Incharge
Assistant Engineer – System Integration & Engineering / SCADA systems/ ( Junior / Entry level),Assistant Engineer System Integration Engineering Scada Systems
Quantity Surveyor,Quantity Surveyor
Administrative Executive,Administrative Executive
Key Account Manager (5 Days / East / Biannual Commission) 056,Key Account Manager
Business Development Executive,Business Development Executive
Pediatric Occupational Therapist #66291,Pediatric Occupational Therapist
TEM Failure Analysis Engineer/Senior Engineer,Tem Failure Analysis Engineer Senior Engineer
Child Care Centre Principal,Child Care Centre Principal
Technician,Technician
Helpdesk Support L1 (Shiftwork may be needed),Helpdesk Support
"Currencies and Emerging Markets - Automated Trading Strategist (ATS), Associate",Currencies And Emerging Markets
Project Executive (Events),Project Executive
Trailer Truck Driver,Trailer Truck Driver
Teaching Assistant (Special Education) #65960,Teaching Assistant
URGENT: Senior/ Sales Manager (Tugs & Barge/ Marine Industry),Senior Sales Manager
Floor Supervisor,Floor Supervisor
Account Executive,Account Executive
[GOVT] Learning and Development Officer - JL,Govt Learning And Development Officer
Healthcare Assistant,Healthcare Assistant
"Business Delivery Manager (Bank, 6 months contract) $7K",Business Delivery Manager
TECHNICIAN OFFICER,Technician Officer
Service Engineer - Woodlands,Service Engineer
Office Admin Executive / Senior Executive,Office Admin Executive Senior Executive
HEAD CHEF,Head Chef
Sales Support Engineer,Sales Support Engineer
MES/CIM Application/Software Engineer,Mes Cim Application Software Engineer
Talent Acquisition Partner - HR & Management - Singapore,Talent Acquisition Partner
Senior Java Developer (Test Automation) 2684,Senior Java Developer
MARKETING EXECUTIVE,Marketing Executive
Account Executive,Account Executive
Sales Executive (General Trade / Modern Trade),Sales Executive
Non-tenure-track Senior Lecturer Positions in Computational Systems and Engineering,Non
Associate,Associate
Spa Therapist wanted @ Jurong,Spa Therapist Wanted Jurong
Software Engineer,Software Engineer
HR Executive,Hr Executive
Lead Commissioning Engineer - Process,Lead Commissioning Engineer
"Accounts Executive (Accounts Receivable, Pasir Panjang)",Accounts Executive
Safety Coordinator,Safety Coordinator
Air Import Officer - GT,Air Import Officer
"Executive/Senior Executive, Planning and Performance",Executive Senior Executive Planning And Performance
Credit Control Executive (Healthcare / Social Service),Credit Control Executive
Software Engineer,Software Engineer
Senior Staff Nurse,Senior Staff Nurse
Business Development Executive (Marketing Agency),Business Development Executive
"Area Manager , Recruitment",Area Manager Recruitment
ADMIN EXECUTIVE,Admin Executive
.NET Developer (12 months and extendable contract),Net Developer
System Engineer,System Engineer
MANAGEMENT EXECUTIVE,Management Executive
(JC) Office Cleaner,Office Cleaner
"Reliability Engineer (Pharma MNC, Office Hours) #HRY",Reliability Engineer
Recruitment Consultant(O'levels/NoExp/East),Recruitment Consultant
Construction Director,Construction Director
Tableau Developer,Tableau Developer
Research Assistant (NEWRIComm),Research Assistant
Branch Operations Officer (Permanent |Foreign Bank),Branch Operations Officer
HR Assistant (Bugis)**Fresh Graduate Welcome!,Hr Assistant Graduate Welcome
"Accountant (FMCG, North, up to $4,000)",Accountant
Boxing Coach,Boxing Coach
Operation Admin Executive,Operation Admin Executive
"Executive, Airfreight Pricing & Customer Service",Executive Airfreight Pricing Customer Service
Staff Nurse (Maternal Healthcare),Staff Nurse
HR Assistant Manager,Hr Assistant Manager
Clinic Nurse (Dermatology) (ref: 120),Clinic Nurse
Project Coordinator,Project Coordinator
Kitchen Assistant,Kitchen Assistant
"Sales Engineer, Fire Suppression",Sales Engineer Fire Suppression
SUPERVISOR,Supervisor
Procurement & Logistics Executive,Procurement Logistics Executive
LEASING EXECUTIVE / UP TO $4K,Leasing Executive
"Manager, Business Relationship Manager, Business Banking",Manager Business Relationship Manager Business Banking
Architectural Drafter,Architectural Drafter
Procurement Engineer / 1 Year Contract / Oil & Gas MNC / Central,Procurement Engineer Year Oil Gas Mnc Central
Preschool Teacher (DECCE-T),Preschool Teacher Decce
"6 months CONTRACT Classroom Support Executive ($3,000 to $4,000) *Educational Institute* #NJA",Months Classroom Support Executive
"Sales Engineer (Electronic Components, up to $5,000)",Sales Engineer
Admin Executive (West / Production / Order Processing),Admin Executive
HR MANAGER,Hr Manager
Preschool Principal - Up to $6000 - Loyang | SINGAPOREANS ONLY,Preschool Principal
Procurement EngineerProcurement Engineer - Oil & Gas,Procurement Engineerprocurement Engineer
Senior / Business Process Analyst – Operational Finance,Senior Business Process Analyst Operational Finance
Workday Analyst - Contract = 6 months,Workday Analyst
Retail Shop Sales Supervisor,Retail Shop Sales Supervisor
R&D Executive #65601,Executive
Senior / Executive Secretary / (Chemical),Senior Executive Secretary
(MIN 4 MTHS BONUS!!) Sales Design Engineer (HVAC/ACMV) - Up to $5500 + AWS,Sales Design Engineer
7048 - Admin Executive,7048
Operations and Marketing Executive,Operations And Marketing Executive
F&B Cook,Cook
Front desk executive,Front Desk Executive
Leasing Admin Executive (East),Leasing Admin Executive
"Senior Accounts Payable (AP) Executive/ Specialist | Jurong Fishery Port | Hybrid | Basic up to $4,000",Senior Accounts Payable Executive Specialist
Service Crew (3 / 4 Days Work Week),Service Crew
LORRY DRIVER,Lorry Driver
Retail Sales Consultant - Luxury Furniture,Retail Sales Consultant
Executive - Education Division,Executive
Sales Administrator / FMCG MNC,Sales Administrator Fmcg Mnc
Spa Therapist #65055,Spa Therapist
"Name Screening Officer (Contract, MNC Bank)",Name Screening Officer
Sales & Marketing Executive (Commission Available/Flexi Timing) #66187,Sales Marketing Executive
"3487 - Operation Executive [ 6 months / temporary / tourism industry / 5 days / $3,000 ]",3487
Bar Manager,Bar Manager
Management Trainee (Corporate / Business) - No experience required (Training Provided),Management Trainee
Quantity Surveyors (Mechanical & Electrical),Quantity Surveyors
Outdoor Sales Executive #65828,Outdoor Sales Executive
Senior Metering Software Service Engineer,Senior Metering Software Service Engineer
Warehouse Customer Service Executive,Warehouse Customer Service Executive
CHEF,Chef
Client Advisor,Client Advisor
Volunteer Manager - GOVT | Perm | up to $5200 - spjsa,Volunteer Manager
"Talent Consultant (Entry level, Training provided)",Talent Consultant
Recruitment Consultant / Senior Recruitment Consultant,Recruitment Consultant Senior Recruitment Consultant
technical architect,Technical Architect
Post-sales account management,Post
"Senior/Executive, Retail & Motor",Senior Executive Retail Motor
0430 - Sales Engineer,0430
Marketing Executive (Oil and Gas),Marketing Executive
"*NEW* Supply Chain Analyst ($4,000 to $4,800) #NJA",Supply Chain Analyst
Customer Service Consultant,Customer Service Consultant
RECEPTIONIST,Receptionist
massage,Massage
SUPERVISOR,Supervisor
Course/Education/Training/Enrollment Executive/Consultant,Course Education Training Enrollment Executive Consultant
Patient Care Assistant (Daycare),Patient Care Assistant
HR Manager (People Operations and Processes),Hr Manager
rocurement and Planning Assistant Manager (Up to $5000 / 5 days / Lakeside),Rocurement And Planning Assistant Manager
Project Engineer / AM (Tender / Quotation) PW24,Project Engineer Am
"IT Application Engineer (Java/SECS/SQL/Tibco, Semiconductor)",It Application Engineer
Operations Manager - Global Logistics Client,Operations Manager
Public Relations Executive,Public Relations Executive
Customs Broker,Customs Broker
Integration Architect,Integration Architect
Visiting Research Scientist (ID TRP) 1,Visiting Research Scientist
"Manager, Production Planning & Customer Service",Manager Production Planning Customer Service
Infant Care Teacher @ Ang Mo Kio ,Infant Care Teacher Ang Mo Kio
Sales Project Assistant Manager (B2B Sales) FMCG,Sales Project Assistant Manager Fmcg
Service Engineer [Environmental protection/ Class 3/ Boon Lay] (JQ),Service Engineer Environmental Protection Class Boon Lay
Sales Support (East/ 6 Months/ Up to $2.5K),Sales Support
Tax Manager,Tax Manager
"Process Engineer (Electronics/ Semiconductor/ Manufacturing, East)",Process Engineer
,
Preschool Teacher [English Language / Chinese Language],Preschool Teacher English Language Chinese Language
Drafter cum Engineer,Drafter Cum Engineer
BUSINESS DEVELOPMENT EXECUTIVE,Business Development Executive
Field Service Engineer,Field Service Engineer
Lead Solution Architect,Lead Solution Architect
"Assistant VP, Client Advisor - Privilege Banking",Assistant Vp Client Advisor
Key Account Manager (Modern Trade),Key Account Manager
Mechanical Designer (Solidworks/DFM/DFA/GD&T),Mechanical Designer
Accounts Executive,Accounts Executive
Backend Software Engineer (DBA) - Cloud Infrastructure,Backend Software Engineer
Childcare Teachers @Serangoon(near the Mrt),Childcare Teachers
Cleaner,Cleaner
Admin Assistant (Part-time),Admin Assistant
Sales Coordinator (Indoors),Sales Coordinator
English Language Tutor -Full time- 6405,English Language Tutor
Finance cum Admin,Finance Cum Admin
Engineering Manager (Automation) #66158,Engineering Manager
"L2 Application support Manager (healthcare, govt project, consultancy, non-helpte/northeast)",Application Support Manager Healthcare Govt Project Consultancy Non
SEA Operations Executive [Import & Export / 3PL / up $3500 / 5.25 Days/ WFH] - FA1,Sea Operations Executive Import Export Days Wfh
SAP Fico Senior Developer,Sap Fico Senior Developer
Sales Manager,Sales Manager
Site Superintendent ,Site Superintendent
Materials & Logistics Manager / Manufacturing MNC (Oil & gas) / West,Materials Logistics Manager Manufacturing Mnc West
Service Engineer  / Technician,Service Engineer Technician
Chemical Technician – no experience needed! 1 year contract (up to $2.4K!) #HLA,Chemical Technician No Experience Needed Year
"Accounts Assistant (Reporting/Alcohol MNC) | Up $3,000 | 1 Year Contract | Toa Payoh",Accounts Assistant
Resident Technical Officer (Airport),Resident Technical Officer
System Engineer – Integration,System Engineer Integration
Live Streamer / Content Creator (Singapore),Live Streamer Content Creator
Inside Sale coordinator (bt. merah),Inside Sale Coordinator
Engineering Manager / Aerospace MNC / East,Engineering Manager Aerospace Mnc East
Legal Administrative Assistant,Legal Administrative Assistant
Bartender,Bartender
Telco Brand Ambassador (CAREER OPPORTUNITIES),Telco Brand Ambassador
Accountant,Accountant
Bakery Retail Assistant #64770,Bakery Retail Assistant
"Assistant Manager, Terrestrial Networks – Fronthaul & Backhaul",Assistant Manager Terrestrial Networks Fronthaul Backhaul
"Security Engineer (Shift, Class 3, West)",Security Engineer
Warehouse Assistant (No Forklift License Required) #65800,Warehouse Assistant
Electrical Engineer (Building Services),Electrical Engineer
Carpentry Project Supervisor,Carpentry Project Supervisor
Site Manager,Site Manager
Admin Executive cum PA #65935,Admin Executive Cum Pa
Admin Executive,Admin Executive
QA/QC Engineer (ISO9000) - Up to $4500+ Bonus | WEST,Qa Qc Engineer
Maintenance & Facilities Manager (Medical Manufacturing MNC),Maintenance Facilities Manager
Technician,Technician
